,,Dimension of Athelete,,,
Athelete Personal Data,,,,,
ID,Name,Sex,Age,Height,Weight
77489,Purvis David McDougall,M,32,182,83
77490,Jean Hunter McDowall (-Burnett),F,19,NA,NA
77491,John McDowall,M,NA,NA,NA
77492,Margaret Gibson McDowall,F,16,NA,NA
77493,Katie McDowell,F,28,172,58
77494,Marty McDowell,M,29,184,85
77495,Paul L. McDowell,M,23,176,81
77496,Antonio Keithflen McDyess,M,26,202,109
77497,James Marshall McEachern,M,38,182,102
77498,Shawn K. McEachern,M,22,183,86
77499,Linda Dawn McEachrane,F,20,168,61
77500,Marcus McElhenney,M,27,163,55
77501,Edmund Morgan Aloysius McElligott,M,NA,NA,NA
77502,"James Donald ""Jim"" McElmury",M,22,183,86
77503,"Philip Bruce ""Phil"" McElwaine",M,18,175,71
77504,Sam McEntee,M,24,191,67
77505,Cameron McEvoy,M,18,185,70
77506,"Frederick Joseph ""Freddie"" McEvoy",M,28,NA,NA
77507,Alex McEwan,M,24,162,62
77508,Devin McEwan,M,31,178,77
77509,"James Patrick ""Jamie"" McEwan",M,19,183,77
77510,Dawn McEwen (Askin-),F,33,162,61
77511,"Robert ""Robbie"" McEwen",M,24,171,67
77512,"Gregory James ""Greg"" McFadden",M,27,NA,NA
77513,Michael McFadden,M,28,183,94
77514,"Barbara Briggs ""Miki"" McFadden",F,20,175,68
77515,Cameron McFadzean,M,25,190,92
77516,Lauren McFall,F,24,175,58
77517,Jennifer Yvonne McFalls,F,28,167,68
77518,"Robert Malcolm ""Bob"" McFarlane",M,21,178,75
77519,Danny D. McFarlane,M,28,183,75
77520,"Donald Cecil ""Don"" McFarlane",M,22,NA,NA
77521,"James Donald ""Don"" McFarlane",M,21,173,68
77522,"Michael Anthony ""Mike"" McFarlane",M,20,178,74
77523,Tracey Danielle McFarlane (-Mirande),F,22,172,59
77524,Valerie Jane McFarlane-Beddoe,F,19,152,48
77525,David Rockwell McFaull,M,27,178,64
77526,"Kathleen Ann ""Kathy"" McGahey (-Heinzler)",F,24,167,59
77527,"Desmond ""Des"" McGann",M,27,173,55
77528,"Kirsten Kate Llewellyn ""Kirsty"" McGarry",F,20,172,65
77529,Tamsen McGarry,F,19,175,80
77530,Ethel M. McGary (-Engelsen),F,20,NA,NA
77531,Kara L. McGaw,F,30,165,58
77532,R. McGaw,M,NA,NA,NA
77533,"Richard Michael ""Rich"" McGeagh",M,20,191,84
77534,"Bradley John ""Brad"" McGee",M,20,182,72
77535,Jimmy McGee,M,NA,NA,NA
77536,Pamela Denise McGee,F,21,190,77
77537,Portia Johnson McGee,F,29,175,70
77538,"Patrick Lucey ""Pat"" McGeer",M,21,NA,NA
77539,Adam Jamie McGeorge,M,23,181,NA
77540,Sonia Marian McGeorge (Vinal-),F,31,170,53
77541,Roisin McGettigan-Dumas,F,27,174,55
77542,Carla Renee McGhee,F,28,188,75
77543,Natalie McGiffert,F,19,160,44
77544,David Earl McGill,M,22,NA,NA
77545,Knowles Edgar McGill,M,25,185,76
77546,Linda Carol McGill (-Kruk),F,18,NA,NA
77547,Tyler Tennant McGill,M,24,180,78
77548,David Lachlan McGillivray,M,18,167,58
77549,Perry McGillivray,M,18,170,NA
77550,Sonya McGinn,F,26,173,64
77551,Charles English McGinnis,M,21,180,68
77552,Donna McGinnis,F,15,168,52
77553,Mark McGivern,M,29,195,87
77554,Nicola McGivern,F,37,164,58
77555,Hamish McGlashan,M,24,197,90
77556,Stephen John McGlede,M,19,177,71
77557,Michael Ryan McGlinchey,M,25,173,NA
77558,Samantha McGlone,F,25,167,57
77559,"Richard Anthony ""Dick"" McGlynn",M,23,183,86
77560,"Edward Finn ""Ted"" McGlynn",M,25,NA,NA
77561,"John ""Johnny"" McGonigle",M,24,160,51
77562,John McGough,M,25,NA,NA
77563,"Matthew ""Matt"" McGovern",M,27,180,82
77564,"David ""Dave"" McGowan",M,23,192,84
77565,David Fisher McGowan,M,66,NA,NA
77566,Ian Matthew McGowan,M,21,193,93
77567,Malcolm R. McGowan,M,24,188,89
77568,"Michael Albert ""Mickey"" McGowan",M,23,NA,NA
77569,Roy McGowan,M,44,179,82
77570,"Rhoderick ""Rory"" McGown",M,19,NA,NA
77571,Dennis Robert McGrane,M,21,175,62
77572,John McGrane,M,22,175,73
77573,Charles Felix McGrath,M,24,175,75
77574,George Frederick McGrath,M,34,NA,NA
77575,Kevin Robert McGrath,M,18,191,57
77576,"Matthew John ""Matt"" McGrath",M,32,182,115
77577,"Gerard Michael ""Mick"" McGrath",M,24,175,70
77578,"Patrick Clarke ""Paddy"" McGrath",M,29,185,125
77579,Seamus Patrick McGrath,M,28,176,62
77580,Virginia Mary McGrath (Connolly-Carew-),F,31,173,61
77581,Alistair McGregor,M,27,185,78
77582,"Robert Bilsland ""Bobby"" McGregor",M,20,185,80
77583,Courtney Louise McGregor,F,17,159,57
77584,David Blane McGregor,M,27,NA,NA
77585,Guy Dalrymple McGregor,M,26,173,75
77586,Haley Louise McGregor,F,25,160,46
77587,Herbert A. McGregor,M,26,175,87
77588,"James ""Jim"" McGregor",M,NA,NA,NA
77589,Robert McGregor,M,28,184,76
77590,Sam McGregor,M,19,192,95
77591,William McGregor,M,22,173,70
77592,Yvonne McGregor,F,35,165,56
77593,"Verne Voorhees ""Vern"" McGrew, Jr.",M,18,190,72
77594,Brenda McGrory,F,16,171,61
77595,Scott Anthony McGrory,M,18,185,73
77596,Walter McGuffie,M,31,NA,NA
77597,"Finbar Patrick ""Barry"" McGuigan",M,19,167,57
77598,"Lawrence Joseph ""Larry"" McGuinness",M,31,NA,NA
77599,Dennis John McGuire,M,25,176,70
77600,Edith Marie McGuire (-Duvall),F,20,173,59
77601,"Joshua ""Josh"" McGuire",M,21,188,74
77602,Phillip McGuire,M,25,180,78
77603,"Thomas ""Tom"" McGuirk",M,25,178,75
77604,Frank McGurk,M,27,NA,NA
77605,Kobie McGurk,F,22,168,61
77606,Guram Mch'edlidze,M,28,178,75
77607,Christina McHale,F,20,170,58
77608,Judith McHale,F,17,174,63
77609,"Edward Joseph McHugh, Jr.",M,22,NA,NA
77610,Jayne Marie McHugh (Gibson-),F,28,188,69
77611,Jennifer McHugh,F,14,160,50
77612,"Terence ""Terry"" McHugh",M,25,193,105
77613,"Gordon ""Gord"" McIlquham",M,27,175,68
77614,Lincoln Paul McIlravy,M,26,172,69
77615,"Charles Raymond ""Chick"" McIlroy",M,22,180,74
77616,James Samuel McIlroy,M,23,180,70
77617,Kate McIlroy,F,30,173,NA
77618,Ned Leroy McIlroy,M,25,178,75
77619,"Charles Joseph ""Charley"" McIlvaine, Sr.",M,24,179,69
77620,Harry Jowett McIlvenny,M,25,NA,NA
77621,Wayne Arthur McIndoe,M,31,177,77
77622,Dugald McInnes,M,30,NA,NA
77623,John Archibald McInnes,M,24,168,67
77624,"Martin Edward ""Marty"" McInnis",M,21,183,84
77625,Aaron John McIntosh,M,24,177,71
77626,Avis McIntosh (-Brain),F,26,166,57
77627,Cameron Nicholas Douglas McIntosh,M,32,176,74
77628,Cecilia Mcintosh,F,30,160,55
77629,Colin Clifford McIntosh,M,39,175,63
77630,Fiona Jane McIntosh,F,24,170,63
77631,"Jennifer ""Jen"" McIntosh",F,21,175,80
77632,"James Stewart ""Jim"" McIntosh",M,26,185,81
77633,Karen Stuart McIntosh (-Collins),F,24,165,57
77634,Raasin G. McIntosh,F,30,170,59
77635,"Richard ""Ricky"" McIntosh",M,24,168,86
77636,Samantha McIntosh,F,24,165,50
77637,Stuart McIntosh,M,25,168,72
77638,Troy McIntosh,M,23,178,73
77639,Trudy Ann McIntosh,F,16,144,36
77640,Alan Lionel McIntyre,M,19,167,75
77641,"Gerald ""Gerry"" McIntyre",M,31,163,54
77642,Graeme John Robert McIntyre,M,31,173,61
77643,John Fleming McIntyre,M,26,188,82
77644,John Vincent McIntyre,M,19,NA,NA
77645,"Elizabeth Geary ""Liz"" McIntyre",F,26,173,61
77646,"Michael Mackay ""Mike"" McIntyre",M,28,190,86
77647,"Robert ""Rob"" McIntyre",M,19,NA,NA
77648,Margaret McIver,F,50,162,68
77649,Ashleigh McIvor (-DeMerit),F,26,178,66
77650,Megan Jean McJames,F,22,168,57
77651,Cecil McKaig,M,NA,NA,NA
77652,"Jonathan ""Jon"" McKain",M,21,185,78
77653,"Kathleen ""Kitty"" McKane (-Godfree)",F,23,NA,NA
77654,Antonio Ricardo McKay,M,20,183,77
77655,David McKay,M,24,167,68
77656,"Earnest Arthur ""Ernie"" McKay",M,27,NA,NA
77657,Kevin John McKay,M,23,178,67
77658,"James Leslie Darcy ""Les"" McKay",M,31,NA,NA
77659,Martin McKay,M,23,180,75
77660,Michael Hugh McKay,M,28,170,68
77661,"Michael Scott ""Mike"" McKay",M,23,192,91
77662,"Michael George ""Mike"" McKay",M,26,193,92
77663,"Thomas Parish ""Tom"" McKay",M,NA,NA,NA
77664,Mary Olive McKean (-Mucha),F,20,NA,NA
77665,"Thomas ""Tom"" McKean",M,24,183,71
77666,"Leslie Alexander Harcombe ""Les"" McKeand",M,23,NA,NA
77667,John Myrth McKechenneay,M,NA,174,NA
77668,Neil John McKechnie,M,17,NA,NA
77669,Anton Sveinn McKee,M,18,183,84
77670,"Charles ""Charlie"" McKee",M,26,179,79
77671,Jonathan Dunn McKee,M,24,177,73
77672,"Paul ""Junior"" McKee",M,22,183,76
77673,"Alexander Timothy ""Tim"" McKee",M,19,173,70
77674,"Edward Daniel ""Ed"" McKeever",M,28,173,79
77675,Robin McKeever,M,24,176,69
77676,"Gordon Riley ""Gordie"" McKellen, Jr.",M,18,160,65
77677,"Donald Arthur ""Don"" McKellow",M,27,NA,NA
77678,"Edward ""Ned"" McKendry",M,20,188,86
77679,Michelle McKendry-Ruthven,F,20,165,61
77680,"Herbert Henry ""Herb"" McKenley",M,26,185,72
77681,"John ""Jack"" McKenna",M,35,NA,NA
77682,Lesley McKenna,F,27,160,57
77683,Alice McKennis,F,20,167,68
77684,R. Angus McKenzie,M,24,174,63
77685,Ashley McKenzie,M,23,168,60
77686,Basil Levy McKenzie,M,NA,NA,NA
77687,Clinton McKenzie,M,20,173,64
77688,"David Closs ""Dave"" McKenzie",M,25,164,55
77689,David Henry McKenzie,M,20,178,65
77690,"Donald Ward ""Don"" McKenzie, Jr.",M,21,186,80
77691,"Donald Alan ""Donnie"" McKenzie",M,28,172,60
77692,Eleanor McKenzie (-Miller),F,21,170,62
77693,Ewan McKenzie,M,29,176,66
77694,George McKenzie,M,19,NA,NA
77695,Gordon Edmund McKenzie,M,29,172,61
77696,"Grace McKenzie (-Nelson, -Morgan)",F,16,NA,NA
77697,Graham Philip McKenzie,M,NA,NA,NA
77698,"Angus Carl Alexander ""Gus"" McKenzie",M,29,NA,NA
77699,Jack McKenzie,M,25,190,86
77700,"Jacqueline ""Jacqui"" McKenzie",F,19,NA,NA
77701,James McKenzie,M,20,NA,NA
77702,James McKenzie,M,NA,NA,NA
77703,Louise McKenzie,F,23,165,59
77704,Michael Bruce McKenzie,M,21,184,74
77705,Paul Raymond McKenzie,M,28,185,90
77706,Paula McKenzie,F,31,170,77
77707,Precious McKenzie,M,32,150,52
77708,Shane McKenzie,M,32,175,90
77709,"Susan Peta ""Sue"" McKenzie (-Harbottle)",F,17,167,67
77710,Robert Tait McKenzie,M,44,NA,NA
77711,Teau Moana McKenzie,F,21,183,67
77712,"Cameron ""Maxi"" McKenzie-McHarg",M,28,196,98
77713,Darren McKenzie-Potter,M,26,180,88
77714,David McKeon,M,20,195,85
77715,Eamonn McKeon,M,26,175,75
77716,Emma McKeon,F,22,180,60
77717,"Matthew John ""Matt"" McKeon",M,21,188,89
77718,"Michael ""Mick"" McKeon",M,NA,NA,NA
77719,"Ronald John ""Ron"" McKeon",M,19,186,88
77720,Brendan Patrick McKeown,M,24,186,80
77721,Taylor McKeown,F,21,178,65
77722,"William Alister M. ""Bill"" McKerlich",M,19,193,89
77723,Ian McKerlich,M,23,200,94
77724,"Jacqueline Lena ""Jackie"" McKernan",F,23,178,73
77725,"John Hansford ""Chip"" McKibben, II",M,27,195,95
77726,Hannah McKibbin,F,19,178,55
77727,John Hubert McKibbon,M,25,200,97
77728,"Thomas Douglas ""Tom"" McKibbon",M,32,188,83
77729,William McKie,M,NA,170,60
77730,David William McKienzie,M,33,193,95
77731,Catherina McKiernan,F,22,165,48
77732,"Elisabeth ""Betty"" McKilligan",F,18,152,47
77733,John McKilligan,M,19,169,63
77734,"Lawrence Raymond ""Larry"" McKillip",M,31,187,89
77735,"Patricia Jean ""Pat"" McKillop (Fraser-, -Williams)",F,24,160,55
77736,Simon John McKillop-Davies,M,19,NA,NA
77737,"William R. ""Bill"" McKim",M,23,183,66
77738,Josephine Eveline McKim (-Chalmers),F,18,NA,NA
77739,"Arthur Frank ""Art"" McKinlay",M,24,186,79
77740,John Dickinson McKinlay,M,24,186,82
77741,Scott M. McKinley,M,19,183,75
77742,Basil Herbert McKinney,M,40,180,NA
77743,Christopher Bryan McKinney,M,22,189,70
77744,"Frank Edward McKinney, Jr.",M,18,184,74
77745,Kennedy McKinney,M,22,170,54
77746,Nathaniel Benjamin McKinney,M,22,175,79
77747,"Richard Lee ""Rick"" McKinney",M,22,170,59
77748,Tamara Price McKinney,F,17,163,53
77749,Burt Plumb McKinnie,M,25,NA,NA
77750,Betty Lindsay McKinnon,F,23,NA,NA
77751,"Daniel Duncan ""Dan"" McKinnon",M,33,185,95
77752,Mervyn L. McKinnon,M,29,173,79
77753,"Ronald ""Ron"" McKinven",M,24,180,73
77754,Ralph McKittrick,M,26,NA,NA
77755,"Christopher Hobart ""Chris"" McKivat",M,28,173,NA
77756,"Robert ""Bob"" McKnight",M,21,NA,NA
77757,Kaila McKnight,F,26,172,52
77758,Sidney McKnight,M,20,162,48
77759,Sparkle McKnight,F,24,158,55
77760,Stephanie McKnight,F,28,169,59
77761,Mark Anthony McKoy,M,22,181,70
77762,Olivia Celia McKoy,F,26,165,73
77763,Hamish McLachlan,M,21,188,95
77764,Murray Lang McLachlan,M,19,177,75
77765,Robert James McLachlan,M,21,187,82
77766,Erica Ashley McLain,F,22,173,62
77767,"Rodney Scott ""Rod"" McLain",M,23,190,64
77768,Craig Ward McLanahan,M,21,NA,NA
77769,"James Price ""Jimmy"" McLane, Jr.",M,17,NA,NA
77770,"William Benjamin ""Ben"" McLaren",M,39,NA,NA
77771,Grant McLaren,M,24,181,69
77772,Robert McLaren,M,23,188,75
77773,"Timothy George ""Tim"" McLaren",M,27,193,89
77774,Ian James McLauchlain,M,24,187,85
77775,"Bernard Joseph ""Benny"" McLaughlin, Jr.",M,20,NA,NA
77776,Brianne Lea McLaughlin,F,22,173,59
77777,Elaine Mary H. McLaughlin,F,24,167,58
77778,Frank Joseph McLaughlin,M,24,180,75
77779,"Jeffrey Dean ""Jeff"" McLaughlin",M,22,198,91
77780,Neil McLaughlin,M,24,164,51
77781,Paul James McLaughlin,M,28,NA,NA
77782,Sydney McLaughlin,F,16,175,60
77783,"Terence ""Terry"" McLaughlin",M,28,182,78
77784,Anneisha McLaughlin-Whilby,F,30,170,65
77785,Kevin McLaverty,M,35,183,92
77786,Adam McLean,M,20,157,51
77787,"Alexander ""Alec"" McLean",M,25,192,86
77788,"Robert Lloyd ""Barney"" McLean",M,30,171,71
77789,Donald McLean,M,40,NA,NA
77790,Erin McLean,F,22,168,62
77791,Errol McLean,M,28,175,58
77792,Gavin William McLean,M,27,NA,NA
77793,Hannah Grace McLean,F,23,176,67
77794,"William John ""Jack"" McLean",M,29,NA,NA
77795,John Frederick McLean,M,22,NA,NA
77796,Katy McLean,F,30,167,70
77797,"Matthew ""Matt"" McLean",M,24,198,100
77798,Michael Adrian McLean,M,22,185,77
77799,Ronald Gordon McLean,M,31,NA,NA
77800,Sarah McLean,F,24,170,65
77801,Sharntelle Sharon Tamika Cyren McLean,F,20,170,67
77802,"Theodore Joseph ""Ted"" McLear",M,25,NA,NA
77803,Glenn Leroy McLeay,M,23,180,77
77804,Adam McLeish,M,30,183,84
77805,"Wallace Angus Grayton ""Grey"" McLeish",M,21,NA,NA
77806,"Susan Marie ""Sue"" McLeish",F,29,160,52
77807,David Charles McLellan,M,18,182,80
77808,Silas Dennison McLellan,M,31,179,NA
77809,Sally McLellan-Pearson,F,21,167,60
77810,Randal Sean Mclelland,M,22,175,81
77811,"Michael ""Mike"" McLeneghan",M,22,180,77
77812,"Robert Alexander ""Bob"" McLeod",M,23,NA,NA
77813,Erika Louise McLeod,F,24,173,72
77814,Erin Katrina McLeod,F,25,174,73
77815,"Gordon ""Gordie"" McLeod",M,23,175,69
77816,Donald Grant McLeod,M,25,193,88
77817,John Taylor McLeod,M,NA,NA,NA
77818,"Michael James ""Mike"" McLeod",M,28,180,63
77819,Omar McLeod,M,22,180,NA
77820,Roslyn McLeod,F,27,183,73
77821,"Anthony ""Tony"" McLeod",M,24,185,77
77822,"Wesley ""Wes"" McLeod",M,18,173,66
77823,Colin McLeod Robertson,M,37,NA,NA
77824,Nancy McLen Ferrer,F,21,167,55
77825,"William ""Bill"" McLernon",M,38,176,63
77826,Melissa Therese McLinden (-Kleespies),F,24,185,66
77827,"Christopher ""Christy"" McLoughlin",M,21,182,66
77828,Emmet McLoughlin,M,NA,NA,NA
77829,Ian William McLoughlin,M,20,168,57
77830,Jack Alan McLoughlin,M,21,183,75
77831,Joseph James McLoughlin,M,25,NA,NA
77832,Noel Peter McLoughlin,M,30,NA,NA
77833,David McMackon,M,50,NA,NA
77834,Arthur Eamonn McMahon,M,47,165,58
77835,"William Francis ""Billy"" McMahon",M,26,NA,NA
77836,Brent McMahon,M,23,178,65
77837,Robert Brian McMahon,M,23,178,55
77838,Brigitte McMahon (Huber-),F,33,170,55
77839,Daniel Francis McMahon,M,22,NA,NA
77840,W. Garfield McMahon,M,26,169,64
77841,Gerald McMahon,M,43,182,78
77842,Karri McMahon,F,24,177,70
77843,Kevin Joseph A. McMahon,M,17,NA,NA
77844,Kevin Thomas McMahon,M,24,183,102
77845,Owen McMahon,M,25,178,70
77846,"Patrick Joseph ""Pat"" McMahon",M,26,172,61
77847,Peter McMahon,M,26,180,82
77848,"Ronald ""Ronnie"" McMahon",M,29,174,66
77849,Sycerika McMahon,F,17,170,60
77850,Marie McMahon-Davenport,F,21,165,52
77851,Sara McMann,F,23,167,62
77852,"David ""Dave"" McManus",M,24,180,78
77853,Eugene McManus,M,26,172,69
77854,Cecil Charles McMaster,M,24,NA,NA
77855,"Andrew Emlyn ""Drew"" McMaster",M,23,166,68
77856,Keryn McMaster,F,22,169,63
77857,Stanley McMeekan,M,23,NA,NA
77858,Sydney McMeekan,M,23,NA,NA
77859,Kate McMeeken-Ruscoe,F,28,172,69
77860,"Christine ""Chris"" McMeekin (-Whittingham)",F,19,163,49
77861,Thomas Doodputlee McMeekin,M,41,NA,NA
77862,"Joseph ""Joe"" McMenamin",M,59,174,80
77863,Dorian Mara Grayce McMenemy Taylor ,F,15,185,70
77864,David Philip McMichael,M,23,172,68
77865,Christine Maree McMiken,F,25,165,47
77866,Donald Fraser McMiken,M,22,171,68
77867,"Andrew ""Andy"" McMillan",M,27,189,87
77868,"William Willard ""Bill"" McMillan",M,23,183,91
77869,Bruce Noel McMillan,M,30,179,NA
77870,Chantae McMillan,F,24,173,69
77871,Daniel McMillan,M,29,189,93
77872,Graham McMillan,M,20,NA,NA
77873,"Hamilton ""Hammy"" McMillan",M,38,178,79
77874,Kathy Laverne McMillan (-Ray),F,18,170,57
77875,"Leighan Michael ""Leigh"" McMillan",M,23,173,68
77876,"Louis Kelley McMillan, Jr.",M,23,NA,NA
77877,"Robert Earl ""Bob"" McMillen",M,20,180,68
77878,"Michael Rex ""Mike"" McMillen",M,27,187,80
77879,"Charles Thomas ""Tom"" McMillen",M,20,212,95
77880,"James Burge ""Jim"" McMillin",M,21,NA,NA
77881,Mark McMorris,M,20,180,72
77882,James Arthur McMullen,M,17,189,83
77883,Paul McMullen,M,24,190,82
77884,Kelli McMullen-Temple,F,35,172,54
77885,"David ""Dave"" McMullin, III",M,24,178,79
77886,Harold Edgar McMunn,M,21,NA,NA
77887,Benjamin McMurray,M,26,183,110
77888,Charles Herbert McMurtrie,M,29,NA,NA
77889,Brent McMurtry,M,23,175,75
77890,Denfield Roosevelt McNab,M,25,175,73
77891,"Christopher ""Rick"" McNair",M,24,195,91
77892,Winifred Margaret McNair (Slocock-),F,42,NA,NA
77893,Andrew James McNally,M,22,178,76
77894,"James Henderson ""Jim"" McNally",M,37,183,95
77895,John Tsuyshi McNally,M,28,170,86
77896,John McNally,M,19,NA,NA
77897,Denis McNamara,M,38,185,103
77898,"John Joseph ""Don"" McNamara, Jr.",M,32,192,97
77899,"James ""Jim"" McNamara",M,37,180,64
77900,Julianne Lyn McNamara (-Zeile),F,18,148,40
77901,"Matthew Patrick Francis ""Pat"" McNamara",M,26,NA,NA
77902,"Gerald S. ""Gerry"" McNamee",M,18,NA,NA
77903,"Kathleen Mavis ""Kay"" McNamee (-Ferguson, -Neale)",F,17,NA,NA
77904,Lesley McNaught-Mndli,F,28,173,70
77905,Duncan Anderson McNaughton,M,21,193,80
77906,James McNaughton,M,26,183,103
77907,"Stuart ""Stu"" McNay",M,27,171,65
77908,Andrew McNee,M,22,175,72
77909,Mark McNee,M,20,175,76
77910,Calum Douglas McNeil,M,26,183,70
77911,Loretta T. McNeil,F,21,NA,NA
77912,Pablo S. McNeil,M,25,180,75
77913,"Christopher Robert ""Chris"" McNeill",M,25,183,77
77914,David McNeill,M,25,175,53
77915,Lee Vernon McNeill,M,23,165,65
77916,Andrew McNeilly,M,29,193,102
77917,Forest Waldemar McNeir,M,44,177,NA
77918,Joy McNichol,F,26,190,80
77919,"Katherine ""Kate"" McNicol",F,23,176,72
77920,Craig Albert McNicoll,M,16,168,65
77921,Brooks A. McNiven,M,27,196,88
77922,James McNiven,M,31,188,74
77923,John McNiven,M,26,188,82
77924,Ian T. McNuff,M,23,183,85
77925,"Joseph Turner ""Joe"" McNulty",M,22,180,66
77926,William Charles McNulty,M,48,NA,NA
77927,Clarence Russell McNutt,M,28,NA,NA
77928,Todd Marshall McNutt,M,27,177,70
77929,Louise McPaul-Currey,F,23,175,68
77930,Holly S. McPeak (-Armato),F,27,170,62
77931,J. McPhail,M,NA,NA,NA
77932,Michael McPhail,M,30,183,89
77933,John McPhedran,M,26,167,68
77934,Duncan McPhee,M,27,NA,NA
77935,"Howard McLeod ""Howie"" McPhee",M,20,178,73
77936,Chauncey Ryder McPherson,M,32,178,NA
77937,"Christopher Paul ""Chris"" McPherson",M,32,185,77
77938,John Donald McPherson,M,14,NA,NA
77939,Inika McPherson,F,29,165,52
77940,Paige Arielle McPherson,F,21,173,65
77941,Ross James McPherson,M,29,173,82
77942,Stephenie Ann McPherson,F,27,173,57
77943,Heather McPhie,F,25,157,56
77944,John David McPhun,M,24,175,64
77945,Marjorie Anne McQuade (-Bennett),F,14,NA,NA
77946,Ann McQuaid,F,21,162,65
77947,John McQuaid,M,28,190,79
77948,Kieron McQuaid,M,21,180,74
77949,Oliver McQuaid,M,22,172,67
77950,Tony McQuay,M,22,181,72
77951,Athol Ferguson McQueen,M,22,196,82
77952,Rachel Jane McQuillan,F,20,174,61
77953,"Edward Renner ""Ed"" McRae",M,19,183,66
77954,Francine McRae,F,27,172,64
77955,James McRae,M,21,193,93
77956,Kimberley McRae,F,21,171,62
77957,"Michael Keith ""Mike"" McRae",M,29,185,81
77958,"Timothy Lenard ""Tim"" McRae",M,21,160,68.5
77959,Marilyn Louise McReavy (-Nolen),F,23,183,64
77960,"Brit McRoberts (Lind-Petersen-, -Townsend)",F,27,178,56
77961,Kate McShea,F,17,170,60
77962,Joan Ethel McSheehy (-Huffman),F,19,NA,NA
77963,"Bradley Steven ""Brad"" McStravick",M,24,184,80
77964,Fanahan McSweeney,M,25,183,76
77965,"Richard ""Dick"" McTaggart",M,21,175,60
77966,Joanne McTaggart,F,21,165,60
77967,Tomeaka Mary McTaggart,F,25,168,62
77968,Anna Therese McVann,F,15,170,54
77969,"Jeffrey ""Jeff"" McVean",M,29,180,73
77970,Katie Ann McVean (-Laurie),F,22,174,65
77971,"Joseph Dean ""Joe"" McVein",M,27,188,79
77972,"Robert Patrick ""Bob"" McVey",M,23,190,96
77973,Cecil Leventhorpe McVilly,M,21,NA,NA
77974,Julian Malviya McWatt,M,25,173,85
77975,"Donald James ""Don"" McWatters",M,23,183,79
77976,Douglas McWhirter,M,25,NA,NA
77977,Tom Eric McWilliam,M,25,NA,NA
77978,Herbert Hastings McWilliams,M,41,NA,NA
77979,Jackie Amanda McWilliams,F,28,160,65
77980,Mhmmdrsul Mcidov,M,25,190,91
77981,Ndabezinhle Mdhlongwa,M,19,176,69
77982,Sizwe Sydney Mdluli,M,19,188,76
77983,Hassan Mead,M,25,188,66
77984,Andrea Bario Mead-Lawrence,F,15,173,59
77985,G. Meade,M,NA,NA,NA
77986,Richard John Hannay Meade,M,25,183,70
77987,Stephanie Meadow,F,24,163,64
77988,Earle Elmer Meadows,M,23,185,72
77989,"Frederick ""Fred"" Meadows",M,NA,NA,NA
77990,Gavin Meadows,M,26,191,82
77991,"Jennifer Brenda ""Jenny"" Meadows",F,27,156,48
77992,Adrian Meagher,M,41,185,90
77993,Aileen Aletha Meagher,F,25,168,55
77994,"Daniel ""Danny"" Meagher",M,21,201,95
77995,Mary Terstegge Meagher (-Plant),F,19,172,64
77996,Robyn Adair Meagher,F,25,167,54
77997,"Alfred F. ""Alf"" Meakin",M,26,176,77
77998,Katheryn Anne Meaklim,F,19,180,72
77999,"Philomena Alecia ""Bonnie"" Mealing (-Johnston)",F,15,160,NA
78000,Barbara Ann Mean,F,18,155,59
78001,Michael Donald Mean,M,21,180,76
78002,Jorge Manuel Meana,M,25,182,82
78003,Pablo Miguel Meana,M,25,187,84
78004,"Helen Meany (-Balfe, -Gravis)",F,15,152,NA
